"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 26 21:12:14 GMT 2023","Sun Mar 26 21:12:25 GMT 2023","10451","tests","test_cart","TestCart","","","Test login before checkout",""
"passed","Sun Mar 26 21:10:56 GMT 2023","Sun Mar 26 21:11:07 GMT 2023","11895","tests","test_address","TestAddressDetails","","","Test for verification address details in checkout page",""
"passed","Sun Mar 26 21:13:28 GMT 2023","Sun Mar 26 21:13:30 GMT 2023","2282","tests","test_products","TestProducts","","","Test view and cart brand products",""
"passed","Sun Mar 26 21:11:29 GMT 2023","Sun Mar 26 21:11:48 GMT 2023","18946","tests","test_cart","TestCart","","","Test register while checkout",""
"passed","Sun Mar 26 21:14:06 GMT 2023","Sun Mar 26 21:14:09 GMT 2023","2542","tests","test_products","TestProducts","","","Test add review on product",""
"passed","Sun Mar 26 21:12:41 GMT 2023","Sun Mar 26 21:12:44 GMT 2023","2400","tests","test_login","TestLogin","","","Test login user with correct email and password",""
"passed","Sun Mar 26 21:14:56 GMT 2023","Sun Mar 26 21:14:56 GMT 2023","408","tests","test_scroll","TestScroll","","","Test verify scroll up and down using arrow button",""
"passed","Sun Mar 26 21:14:21 GMT 2023","Sun Mar 26 21:14:44 GMT 2023","23200","tests","test_products","TestProducts","","","Test download invoice after purchase order",""
"passed","Sun Mar 26 21:15:01 GMT 2023","Sun Mar 26 21:15:02 GMT 2023","489","tests","test_subscription","TestSubscription","","","Test verify subscription in home page",""
"passed","Sun Mar 26 21:12:33 GMT 2023","Sun Mar 26 21:12:37 GMT 2023","4459","tests","test_contact_us","TestContactUs","","","Test ""contact us"" form",""
"passed","Sun Mar 26 21:11:14 GMT 2023","Sun Mar 26 21:11:17 GMT 2023","3474","tests","test_cart","TestCart","","","Test to add products in cart",""
"passed","Sun Mar 26 21:14:48 GMT 2023","Sun Mar 26 21:14:52 GMT 2023","4857","tests","test_register_user","TestRegister","","","Test user be able to register",""
"passed","Sun Mar 26 21:15:09 GMT 2023","Sun Mar 26 21:15:10 GMT 2023","1890","tests","test_testCases","TestVerifyTestCases","","","Test verify test cases page",""
"passed","Sun Mar 26 21:13:13 GMT 2023","Sun Mar 26 21:13:14 GMT 2023","660","tests","test_products","TestProducts","","","Test search product",""
"passed","Sun Mar 26 21:15:06 GMT 2023","Sun Mar 26 21:15:06 GMT 2023","393","tests","test_subscription","TestSubscription","","","Test verify subscription in cart page",""
"passed","Sun Mar 26 21:14:11 GMT 2023","Sun Mar 26 21:14:18 GMT 2023","6453","tests","test_products","TestProducts","","","Test add to cart from recommended items",""
"passed","Sun Mar 26 21:12:27 GMT 2023","Sun Mar 26 21:12:30 GMT 2023","3118","tests","test_cart","TestCart","","","Test remove products fro the cart",""
"passed","Sun Mar 26 21:12:48 GMT 2023","Sun Mar 26 21:12:49 GMT 2023","653","tests","test_login","TestLogin","","","Test login user with incorrect email and password",""
"passed","Sun Mar 26 21:14:59 GMT 2023","Sun Mar 26 21:14:59 GMT 2023","470","tests","test_scroll","TestScroll","","","Test verify scroll up and down without using arrow button",""
"passed","Sun Mar 26 21:13:01 GMT 2023","Sun Mar 26 21:13:01 GMT 2023","647","tests","test_login","TestLogin","","","Test register user with existing email",""
"passed","Sun Mar 26 21:13:16 GMT 2023","Sun Mar 26 21:13:22 GMT 2023","5902","tests","test_products","TestProducts","","","Test view category products",""
"passed","Sun Mar 26 21:12:53 GMT 2023","Sun Mar 26 21:12:56 GMT 2023","2838","tests","test_login","TestLogin","","","Test logout user",""
"passed","Sun Mar 26 21:11:53 GMT 2023","Sun Mar 26 21:12:10 GMT 2023","16978","tests","test_cart","TestCart","","","Test register before checkout",""
"passed","Sun Mar 26 21:13:50 GMT 2023","Sun Mar 26 21:14:01 GMT 2023","11040","tests","test_products","TestProducts","","","Test search products and verify cart after login",""
"passed","Sun Mar 26 21:11:19 GMT 2023","Sun Mar 26 21:11:22 GMT 2023","3087","tests","test_cart","TestCart","","","Test verify product quantity in cart",""
"passed","Sun Mar 26 21:13:06 GMT 2023","Sun Mar 26 21:13:08 GMT 2023","1663","tests","test_products","TestProducts","","","Test verify all products and product detail page",""
